ID,Name,Type,isFemale,Profession,Entity_Type,Entity_Country
per_001,Julianne Nyhan,Person,1.0,99,99,99
per_002,Judy Malloy,Person,1.0,99,99,99
per_003,Ralph H. Parker,Person,0.0,99,99,99
per_004,Richard Dougherty,Person,0.0,99,99,99
per_005,Henriette D. Avram,Person,1.0,99,99,99
per_006,Ted Nelson,Person,0.0,99,99,99
per_007,John Cage,Person,0.0,99,99,99
per_008,Sonya  Rapoport,Person,1.0,99,99,99
per_009,Mark Bernstein,Person,0.0,99,99,99
per_010,Dan Anderson,Person,0.0,99,99,99
per_011,George Perec,Person,0.0,99,99,99
per_012,Stuart Moulthrop,Person,0.0,8,99,99
per_013,Nancy Kaplan,Person,1.0,99,99,99
per_014,Ernst Zinn,Person,0.0,8,99,99
per_015,Jose Antonio Villarreal,Person,0.0,9,99,99
per_016,Jo Sanford,Person,1.0,10,99,99
per_017,Carl Loefler,Person,0.0,99,99,99
per_018,Fred Truck,Person,0.0,10,99,99
per_019,Anna Couey,Person,1.0,99,99,99
per_020,Jeanelle Hurst,Person,1.0,99,99,99
per_021,Robert Edgar,Person,0.0,99,99,99
per_022,Howard Besser,Person,0.0,99,99,99
per_023,Philip Larkin,Person,0.0,99,99,99
per_024,Robert Coover ,Person,0.0,99,99,99
per_025,Willard McCarty,Person,0.0,8,99,99
per_026,Harold Short,Person,0.0,8,99,99
per_027,John Burrows,Person,0.0,8,99,99
per_028,Hugh Craig,Person,0.0,8,99,99
per_029,John Lambert,Person,0.0,99,99,99
per_030,John Dawson ,Person,0.0,14,99,99
per_031,Susan Hockey,Person,1.0,99,99,99
per_032,Annette Dobson,Person,1.0,8,99,99
per_033,Nick McLaren,Person,0.0,99,99,99
per_034,Wolfgang Clemen,Person,0.0,99,99,99
per_035,Stephen Greenblatt,Person,0.0,99,99,99
per_036,George Hunter ,Person,0.0,99,99,99
per_037,Geoffrey Rockwell,Person,0.0,8,99,99
per_038,Robert Weimann,Person,0.0,99,99,99
per_039,Paul Fortier,Person,0.0,8,99,99
per_040,Paul Butler,Person,0.0,99,99,99
per_041,Alexis Antonia,Person,1.0,15,99,99
per_042,Anne  Barton,Person,1.0,16,99,99
per_043,Ian Hacking,Person,0.0,99,99,99
per_044,Harold Love,Person,0.0,99,99,99
per_045,Wilhelm Ott,Person,0.0,8,99,99
per_046,Bonifatius Fischer,Person,0.0,99,99,99
per_047, H�bner,Person,0.0,17,99,99
per_048,Kurt Aland,Person,0.0,8,99,99
per_049,John Bradley,Person,0.0,18,99,99
per_050,Robert Weber,Person,0.0,99,99,99
per_051,Roberto Busa,Person,0.0,99,99,99
per_052,Louis Delatte,Person,0.0,8,99,99
per_053,Joseph Raben,Person,0.0,8,99,99
per_054,Stephen Waite,Person,0.0,99,99,99
per_055,Antonio  Zampoli,Person,0.0,99,99,99
per_056,Eric Auerbach,Person,0.0,99,99,99
per_057,David Packard,Person,0.0,99,99,99
per_058,Roy Wisbey,Person,0.0,8,99,99
per_059, Lenders,Person,0.0,8,99,99
per_060,Paul Sappler,Person,0.0,99,99,99
per_061, Niemeyer,Person,0.0,99,99,99
per_062,Wolfgang Reiner,Person,0.0,99,99,99
per_063,Gottfried Reeg,Person,0.0,99,99,99
per_064,Ian Marriot ,Person,0.0,99,99,99
per_065,John Unsworth,Person,0.0,99,99,99
per_066, Schepers,Person,,99,99,99
per_067,David Seaman,Person,0.0,99,99,99
per_068,Michael Sperberg-McQueen,Person,0.0,99,99,99
per_069,Jean-Louis Lebrave,Person,0.0,99,99,99
per_070,Johann Cook,Person,0.0,99,99,99
per_071,Michael Krupp,Person,0.0,99,99,99
per_072,Eduard Norden,Person,0.0,99,99,99
per_073,Ian Lancashire,Person,0.0,99,99,99
per_074,Eilli Mylonas,Person,,99,99,99
per_075,Nikki Yokokura,Person,,99,99,99
per_076,Northrop Frye,Person,,99,99,99
per_077,George Landow,Person,0.0,99,99,99
per_078,Sam Cioran,Person,0.0,99,99,99
per_079,Hans Rutiman,Person,0.0,19,99,99
per_080,Tito Orlandi,Person,0.0,8,99,99
per_081,Silvio Ceccato,Person,0.0,8,99,99
per_082,Ignazio Cazzaniga,Person,0.0,8,99,99
per_083,Luigi Cerofolini,Person,0.0,99,99,99
per_084,Mirella Schaerf,Person,1.0,99,99,99
per_085,William Weaver,Person,0.0,99,99,99
per_086,Norbert Wiener,Person,0.0,99,99,99
per_087,Jean-Claude Gardin,Person,0.0,99,99,99
per_088,Mario Alinei,Person,0.0,99,99,99
per_089,Silvio D'Arco Avalle,Person,0.0,99,99,99
per_090,Peter Robinson,Person,0.0,99,99,99
per_091,Manfred Thaller,Person,0.0,99,99,99
per_092,Geoffrey Sampson,Person,0.0,99,99,99
per_093,Andrew Morton,Person,0.0,99,99,99
per_094,Alan Jones,Person,0.0,99,99,99
per_095,Bob Churchhouse,Person,0.0,20,99,99
per_096,Joan Smith,Person,1.0,99,99,99
per_097,Don Walker,Person,0.0,21,99,99
per_098,Nancy Ide,Person,1.0,99,99,99
per_099,David Barnard,Person,0.0,8,99,99
per_100,Anthony Kenny,Person,0.0,99,99,99
per_101,Kenneth Dover,Person,0.0,99,99,99
per_102,Mary Dee Harris,Person,1.0,8,99,99
per_103,Nell Dale,Person,1.0,99,99,99
per_104,Donald Ross,Person,0.0,99,99,99
per_105,Jim Joyce,Person,0.0,99,99,99
per_106,Jeffrey Huntsman,Person,0.0,99,99,99
per_107,Patricia K. Galloway,Person,1.0,99,99,99
per_108,Warner Barnes,Person,0.0,8,99,99
per_109,William B. Todd,Person,0.0,8,99,99
per_110,John Nitti,Person,0.0,8,99,99
per_111,Lloyd Kasten ,Person,0.0,8,99,99
per_112,Angus Cameron,Person,0.0,8,99,99
per_113,John O'Neill,Person,0.0,99,99,99
per_114,Theodore S. Beardsley,Person,0.0,13,99,99
per_115,Helen Ag�era,Person,1.0,99,99,99
per_116,Frederic Cassidy,Person,0.0,8,99,99
per_117,Ted Brunner,Person,0.0,99,99,99
per_118,Greg Crane,Person,0.0,99,99,99
per_119,Peter Shillingsburg,Person,0.0,99,99,99
per_120,David Chesnutt,Person,0.0,99,99,99
per_121,Lou  Burnard,Person,0.0,99,99,99
per_122,Winfred Bader,Person,0.0,99,99,99
per_123,Tim Bray ,Person,0.0,99,99,99
per_124,Jon Bosak,Person,0.0,22,99,99
per_125,John James,Person,0.0,23,99,99
per_126,James Joyce,Person,0.0,99,99,99
per_127,David Megginson,Person,0.0,99,99,99
per_128,Rudy Spraycar,Person,0.0,99,99,99
inst001,National Union Catalog,Institution,99.0,99,1,1
inst002,Library of Congress,Institution,99.0,99,1,1
inst003,Ball Brothers Research Corporation (BBRC) ,Institution,99.0,99,2,1
inst004,Goddard Space Flight Center,Institution,99.0,99,2,1
inst005,J. Walter Thomson Company,Institution,99.0,99,2,1
inst006,Special Library System,Institution,99.0,99,1,2
inst007,San Jose State University,Institution,99.0,99,3,1
inst008,"Computers in Art and Design, Research and Education Institute (CADRE)",Institution,99.0,99,3,1
inst009,Museum Computer Network,Institution,99.0,99,4,1
inst010,NCGA Conference,Institution,99.0,99,99,1
inst011,Electromagnetic Research Corp,Institution,99.0,99,2,1
inst012,Oulipo,Institution,99.0,99,99,3
inst013,"""The Art of Asking your Boss for a Raise"" by George Perec",Institution,99.0,99,6,99
inst014,Cambridge,Institution,99.0,99,3,4
inst015,Oxford University Computing Services,Institution,99.0,99,3,4
inst016,Cambridge Computing Laboratory,Institution,99.0,99,3,4
inst017,Erich Auerbach's Mimesis,Institution,99.0,99,6,99
inst018,Arthur Brower's Fields of Light,Institution,99.0,99,6,99
inst019,New Historicism,Institution,99.0,99,99,99
inst020,"Journal ""Literary and Linguistics Computing""",Institution,99.0,99,6,4
inst021,"Journal ""Computing in the Humanities""",Institution,99.0,99,6,99
inst022,MLA (Modern Language Association),Institution,99.0,99,4,1
inst023,AULLA (Australasian Universities Language and Literature Association),Institution,99.0,99,4,5
inst024,Computer Center at the University of Tübingen ,Institution,99.0,99,1,2
inst025,Classics Department in Tübingen University,Institution,99.0,99,3,2
inst026,Deutsche Forschungsgemeinschaft (DFG),Institution,99.0,99,4,2
inst027,University of Tübingen,Institution,99.0,99,3,2
inst028,University of Münster,Institution,99.0,99,3,2
inst029,Theologische Quartalschrift,Institution,99.0,99,6,2
inst030,Institute of Hebrew Studies,Institution,99.0,99,3,2
inst031,Lix Bildstudio,Institution,99.0,99,2,2
inst032,Mittelbayerische Zeitung,Institution,99.0,99,2,2
inst033,Hell Company,Institution,99.0,99,2,2
inst034,Fromman-Holzboog,Institution,99.0,99,2,2
inst035,Laboratoire d'Analyse Statistique des Langues Anciennes,Institution,99.0,99,3,9
inst036,La F�d�ration internationale des associations d'�tudes classiques (FIEC),Institution,99.0,99,99,99
inst037,Packard Foundation,Institution,99.0,99,4,1
inst038,ALLC (Association for Literary and Linguistic Computing),Institution,99.0,99,4,4
inst039,Last conference (before ALLC was founded),Institution,99.0,99,99,11
inst040,Appendix to the commentary of Eduard Norden to the six book af Aeneid,Institution,99.0,99,6,99
inst041,pagina GmbH,Institution,99.0,99,2,2
inst042,TUSTEP (T�binger System von Textverarbeitungs-Programmen),Institution,99.0,99,99,99
inst043,COCOA,Institution,99.0,99,99,99
inst044,Oxford Concordance Program (OCP),Institution,99.0,99,99,99
inst045,(Regensburg) COBAPH,Institution,99.0,99,99,99
inst046,Kolloquium zur Anwendung der EDV in den Geisteswisschenschaften and der Universit�t Tübingen,Institution,99.0,99,99,2
