Source,Target,RelationType,RelationStartYear,RelationEndYear,Experience
per_002,per_002,4,99,99,99
per_002,per_003,4,99,99,99
per_002,per_004,4,99,99,99
per_002,per_005,4,99,99,99
per_002,per_006,4,99,99,99
per_037,per_006,4,99,99,99
per_002,per_007,4,99,99,99
per_002,per_008,4,99,99,99
per_002,per_009,4,99,99,99
per_002,per_010,4,99,99,99
per_002,per_011,4,99,99,99
per_002,per_012,4,99,99,99
per_002,per_013,4,99,99,99
per_045,per_014,4,99,99,99
per_002,per_015,4,99,99,99
per_002,per_016,4,99,99,99
per_002,per_017,4,99,99,99
per_002,per_018,4,99,99,99
per_002,per_019,4,99,99,99
per_002,per_020,4,99,99,99
per_002,per_021,4,99,99,99
per_002,per_022,4,99,99,99
per_002,per_023,4,99,99,99
per_002,per_024,4,99,99,99
per_002,per_025,4,99,99,99
per_080,per_025,4,99,99,99
per_068,per_025,4,99,99,99
per_045,per_026,4,99,99,99
per_031,per_026,4,99,99,99
per_027,per_029,4,99,99,99
per_079,per_029,4,99,99,99
per_027,per_030,4,99,99,99
per_027,per_031,4,99,99,99
per_045,per_031,4,99,99,99
per_037,per_031,4,99,99,99
per_027,per_032,4,99,99,99
per_027,per_033,4,99,99,99
per_027,per_034,4,99,99,99
per_079,per_034,4,99,99,99
per_028,per_035,4,99,99,99
per_079,per_035,4,99,99,99
per_028,per_036,4,99,99,99
per_080,per_037,4,99,99,99
per_028,per_038,4,99,99,99
per_027,per_039,4,99,99,99
per_031,per_039,4,99,99,99
per_068,per_039,4,99,99,99
per_027,per_040,4,99,99,99
per_028,per_041,4,99,99,99
per_028,per_042,4,99,99,99
per_026,per_043,4,99,99,99
per_027,per_044,4,99,99,99
per_037,per_045,4,99,99,99
per_031,per_045,4,99,99,99
per_068,per_045,4,99,99,99
per_045,per_046,4,99,99,99
per_045,per_047,4,99,99,99
per_045,per_048,4,99,99,99
per_037,per_049,4,99,99,99
per_045,per_050,4,99,99,99
per_045,per_051,4,99,99,99
per_080,per_051,4,99,99,99
per_031,per_051,4,99,99,99
per_045,per_052,4,99,99,99
per_045,per_053,4,99,99,99
per_079,per_053,4,99,99,99
per_031,per_053,4,99,99,99
per_045,per_054,4,99,99,99
per_045,per_055,4,99,99,99
per_080,per_055,4,99,99,99
per_031,per_055,4,99,99,99
per_079,per_056,4,99,99,99
per_045,per_057,4,99,99,99
per_045,per_058,4,99,99,99
per_031,per_058,4,99,99,99
per_045,per_059,4,99,99,99
per_045,per_060,4,99,99,99
per_045,per_061,4,99,99,99
per_045,per_062,4,99,99,99
per_045,per_063,4,99,99,99
per_045,per_064,4,99,99,99
per_045,per_065,4,99,99,99
per_045,per_066,4,99,99,99
per_045,per_067,4,99,99,99
per_045,per_068,4,99,99,99
per_115,per_068,4,99,99,99
per_045,per_069,4,99,99,99
per_045,per_070,4,99,99,99
per_045,per_071,4,99,99,99
per_045,per_072,4,99,99,99
per_037,per_073,4,99,99,99
per_037,per_074,4,99,99,99
per_037,per_075,4,99,99,99
per_037,per_076,4,99,99,99
per_037,per_077,4,99,99,99
per_037,per_078,4,99,99,99
per_080,per_081,4,99,99,99
per_080,per_082,4,99,99,99
per_080,per_083,4,99,99,99
per_080,per_084,4,99,99,99
per_080,per_085,4,99,99,99
per_080,per_086,4,99,99,99
per_080,per_087,4,99,99,99
per_080,per_088,4,99,99,99
per_080,per_089,4,99,99,99
per_080,per_090,4,99,99,99
per_080,per_091,4,99,99,99
per_080,per_092,4,99,99,99
per_031,per_093,4,99,99,99
per_031,per_094,4,99,99,99
per_031,per_095,4,99,99,99
per_031,per_096,4,99,99,99
per_031,per_097,4,99,99,99
per_031,per_098,4,99,99,99
per_115,per_098,4,99,99,99
per_068,per_098,4,99,99,99
per_031,per_099,4,99,99,99
per_068,per_099,4,99,99,99
per_031,per_100,4,99,99,99
per_031,per_101,4,99,99,99
per_102,per_103,4,99,99,99
per_102,per_104,4,99,99,99
per_102,per_105,4,99,99,99
per_102,per_106,4,99,99,99
per_102,per_107,4,99,99,99
per_102,per_108,4,99,99,99
per_102,per_109,4,99,99,99
per_115,per_110,4,99,99,99
per_110,per_111,4,99,99,99
per_110,per_112,4,99,99,99
per_110,per_113,4,99,99,99
per_110,per_114,4,99,99,99
per_110,per_115,4,99,99,99
per_068,per_115,4,99,99,99
per_110,per_116,4,99,99,99
per_115,per_117,4,99,99,99
per_115,per_118,4,99,99,99
per_115,per_119,4,99,99,99
per_115,per_120,4,99,99,99
per_068,per_121,4,99,99,99
per_068,per_122,4,99,99,99
per_068,per_123,4,99,99,99
per_068,per_124,4,99,99,99
per_068,per_125,4,99,99,99
per_068,per_126,4,99,99,99
per_068,per_127,4,99,99,99
per_068,per_128,4,99,99,99
per_002,inst002,1,1964,1964,99
per_002,inst005,1,1967,1967,99
per_002,inst006,1,99,99,99
per_002,inst003,1,1969,1969,99
per_028,inst014,1,1979-1980,1979-1980,99
per_028,inst048,1,2004,2004,99
per_028,inst049,1,2001,2001,99
per_027,inst048,1,1976-1989,1976-1989,99
per_027,inst049,1,1989-2001,1989-2001,99
per_045,inst024,1,1966-2003,1966-2003,99
per_045,inst041,1,1973-nowadays ,1973-nowadays ,99
per_037,inst059,1,99,99,99
per_037,inst060,1,1985,1985,99
per_037,inst054,1,1994-2004,1994-2004,99
per_079,inst062,1,1968,1968,99
per_079,inst064,1,1970s,1970s,99
per_080,inst079,1,1976-2010,1976-2010,99
per_080,inst080,1,1992-2010,1992-2010,99
per_080,inst081,1,1984-1994,1984-1994,99
per_031,inst083,1,1967-1975,1967-1975,99
per_031,inst097,1,1975-1991,1975-1991,99
per_031,inst096,1,2004,2004,99
per_031,inst059,1,1997-1999,1997-1999,99
per_031,inst038,1,1985-1997,1985-1997,99
per_102,inst101,1,1965-1966,1965-1966,99
per_102,inst103,1,1975-1979,1975-1979,99
per_102,inst104,1,1979-1986,1979-1986,99
per_102,inst106,1,1986-1989,1986-1989,99
per_102,inst107,1,around 1990s,around 1990s,99
per_102,inst102,1,1997-2002,1997-2002,99
per_102,inst109,1,2002-2010,2002-2010,99
per_110,inst110,1,1970s-today???,1970s-today???,99
per_110,inst111,1,1975-2001??,1975-2001??,99
per_115,inst119,1,1979-2014,1979-2014,99
per_068,inst126,1,1985,1985,99
per_068,inst121,1,1988-2000,1988-2000,99
per_068,inst137,1,1996-1998,1996-1998,99
per_068,inst138,1,1998-2009,1998-2009,99
per_068,inst139,1,99,99,99
per_068,inst140,1,99,99,99
per_002,pers_003,2,99,99,99
per_002,pers_004,2,99,99,99
per_002,pers_005,2,99,99,99
per_002,pers_006,2,99,99,99
per_002,pers_007,2,99,99,99
per_002,pers_008,2,99,99,99
per_002,pers_009,2,99,99,99
per_028,inst_019,2,99,99,99
per_028,per_029,2,99,99,99
per_028,per_035,2,99,99,99
per_027,inst_017,2,99,99,99
per_027,inst_018,2,99,99,99
per_027,inst_020,2,99,99,99
