Source,Target,RelationType,RelationStartYear,RelationEndYear,Experience
per002,per002,4,99,99,99
per002,per003,4,99,99,99
per002,per004,4,99,99,99
per002,per005,4,99,99,99
per002,per006,4,99,99,99
per037,per006,4,99,99,99
per002,per007,4,99,99,99
per002,per008,4,99,99,99
per002,per009,4,99,99,99
per002,per010,4,99,99,99
per002,per011,4,99,99,99
per002,per012,4,99,99,99
per002,per013,4,99,99,99
per045,per014,4,99,99,99
per002,per015,4,99,99,99
per002,per016,4,99,99,99
per002,per017,4,99,99,99
per002,per018,4,99,99,99
per002,per019,4,99,99,99
per002,per020,4,99,99,99
per002,per021,4,99,99,99
per002,per022,4,99,99,99
per002,per023,4,99,99,99
per002,per024,4,99,99,99
per002,per025,4,99,99,99
per080,per025,4,99,99,99
per068,per025,4,99,99,99
per002,inst002,1,1964,1964,99
per002,inst005,1,1967,1967,99
per002,inst006,1,99,99,99
per002,inst003,1,1969,1969,99
per002,per003,2,99,99,99
per002,per004,2,99,99,99
per002,per005,2,99,99,99
per002,per006,2,99,99,99
per002,per007,2,99,99,99
per002,per008,2,99,99,99
per002,per009,2,99,99,99
per002,eq001,8,99,99,99
per002,eq002,8,99,99,99
per002,eq003,8,99,99,99
per002,eq004,8,99,99,99
per002,eq005,8,99,99,99
inst001,inst002,3,99,99,99
inst008,inst007,3,99,99,99
inst010,inst008,3,99,99,99
inst001,per002,6,99,99,99
inst002,per002,6,99,99,99
inst003,per002,6,99,99,99
inst004,per002,6,99,99,99
inst005,per002,6,99,99,99
inst006,per002,6,99,99,99
inst007,per002,6,99,99,99
inst008,per002,6,99,99,99
inst009,per002,6,99,99,99
inst010,per002,6,99,99,99
inst011,per002,6,99,99,99
inst012,per002,6,99,99,99
inst013,per002,6,99,99,99
inst068,per002,6,99,99,99
per001,per002,7,99,99,99
per002,met001,9,99,99,99
per002,met002,9,99,99,99
per002,per010,12,1960,1960,99
per002,inst003,12,1960,1960,99
per002,inst068,12,1960,1960,99
per002,disc001,14,99,99,99
per002,disc002,14,99,99,99
per003,disc003,14,99,99,99
per004,disc004,14,99,99,99
per004,disc005,14,99,99,99
per005,disc006,14,99,99,99
per006,disc007,14,99,99,99
per007,disc008,14,99,99,99
per008,disc009,14,99,99,99
per009,disc010,14,99,99,99
per010,disc011,14,99,99,99
per012,disc012,14,99,99,99
per014,disc013,14,99,99,99
per016,disc014,14,99,99,99
per017,disc015,14,99,99,99
per017,disc016,14,99,99,99
per018,disc017,14,99,99,99
per025,disc018,14,99,99,99
per002,soft001,10,99,99,99
per002,soft002,10,99,99,99
per002,soft003,10,99,99,99
per002,soft004,10,99,99,99
per002,soft005,10,99,99,99
per002,soft006,10,99,99,99
per002,firstContact_002,13,1964,1964,99
per002,non_dig_contact_002,15,99,99,0
per002,com_centre_help_002,16,99,99,99
